simulation_id	longitude	latitude	inclination	distance	mass1	mass2	spin1z	spin2z	polarization	coa_phase	geocent_end_time	geocent_end_time_ns	gps_time
4304	3.954836	-0.2105535	0.82178647	690.71938	6.6385508	2.6193714	0.31473318	0.00019550148	0.027981167659163475	-2.2619242668151855	1005448093	698781013	1005448093.704948
4309	4.120345	0.16340554	2.9877756	2509.5122	10.118827	3.486193	-0.1120884	0.14157255	3.5334198474884033	2.4356117248535156	1014425836	95040798	1014425836.099254
4324	1.0645807	0.16911509	2.4057078	737.48102	8.6061015	1.4558168	-0.11190326	-0.065653181	2.5245871543884277	-0.5001330971717834	1022741908	88318825	1022741908.099778
4327	3.3112459	0.71250309	2.3725937	1320.8851	7.5824781	2.6724588	0.062885224	0.14146322	2.6132991313934326	0.9043282270431519	1016348611	89982986	1016348611.072851
4341	2.8522351	-0.065482167	2.2566955	871.18634	39.139814	2.9799771	0.052985841	0.51899888	1.9638855457305908	-0.2240772396326065	1014449004	762440801	1014449004.749127
4401	1.9678303	-1.4525936	1.4559394	395.05621	11.121823	2.7223579	-0.010604905	0.22081707	5.0253705978393555	-1.500719428062439	1004190962	774195433	1004190962.786981
4426	3.4006435	0.6892498	0.35353224	3423.5737	31.47815	3.7969309	-0.15423423	0.0041430071	2.0425052642822266	2.256361484527588	1008507306	198066354	1008507306.178692
4437	4.1402625	1.0969076	2.0936568	1340.064	21.790525	2.8328748	0.17538507	0.26387688	2.4456706047058105	0.5445531606674194	1025669276	539604902	1025669276.520447
4498	4.1202761	0.99355261	2.5868044	248.88222	11.901358	1.8824562	0.094157101	-0.086027956	4.33090353012085	-0.8956652283668518	1024568536	909860134	1024568536.899854
4502	1.091807	-0.32711823	0.65140238	406.31443	7.7843242	2.496067	-0.17898592	0.0005537488	4.217520236968994	1.3454078435897827	1008616274	5726576	1008616274.019618
4571	4.699533	0.21685874	0.40013979	2124.5711	8.8728346	2.2068487	0.36852266	-0.0048276229	1.0724300146102905	-3.0344817638397217	1005079978	85372806	1005079978.070364
